gender,age_range,district,city,level_of_education,level_of_employment,usage_status,usage_rank,purpose,apps,ui_ux,security,open_status
Female,26 - 35,Kalutara,Bandaragama ,Bachelor’s Degree or equivalent,Supply chain ,Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders,BOC Smart Pay - Bank of Ceylon;Sampath Bank Mobile App - Sampath Bank;Frimi - Nations Trust Bank,Satisfied,Satisfied,Satisfied
Male,26 - 35,Colombo,thalawathugoda,Bachelor’s Degree or equivalent,,Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders,BApp – Bank of Ceylon;Sampath Bank Mobile App - Sampath Bank,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied
Male,26 - 35,Colombo,Rajagiriya,MSc,Information Technology,Yes,1 - 5 times per day,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history;To submit online requests to banks;Manage savings accounts;Mange current accounts;Manage fixed deposits;Communicate with bank,SC Mobile Sri Lanka – Standard Chartered;Nations Mobile Banking – Nations Trust Bank;HSBC,Very Unsatisfied,Neutral,Neutral
Female,18 - 25,Monaragala,Bibile,Bachelor’s Degree or equivalent,,Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history,BApp – Bank of Ceylon;People’s Wave – People’s Bank,Neutral,Neutral,Satisfied
Female,26 - 35,Matara,,Bachelor’s Degree or equivalent,Science and technology,Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts,People’s Wave – People’s Bank,Neutral,Satisfied,Satisfied
Female,26 - 35,Matara,Matara,Bachelor’s Degree or equivalent,Architecture and engineering,Yes,1 - 10 times per month,To check balance and transaction history,Combank Digital – Commercial Bank,Satisfied,Neutral,Neutral
Female,26 - 35,Nuwara Eliya,Nawalapitiya,Bachelor’s Degree or equivalent,Science and technology,Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history,BApp – Bank of Ceylon;People’s Wave – People’s Bank;Combank Digital – Commercial Bank,Satisfied,Very Satisfied,Satisfied
Male,26 - 35,Colombo,Hanwella,Bachelor’s Degree or equivalent,Architecture and engineering,Yes,Less than 5 times per week,To check balance and transaction history;Manage savings accounts;Manage fixed deposits,Sampath Bank Mobile App - Sampath Bank;Combank Digital – Commercial Bank,Satisfied,Very Satisfied,Very Satisfied
Female,26 - 35,Matara,Hakmana ,Bachelor’s Degree or equivalent,"Business, management and administration",Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts;Top up mobile credits,People’s Wave – People’s Bank,Satisfied,Very Satisfied,Very Satisfied
Female,36 - 55,Badulla,Diyathalawa,Ordinary Level  or equivalent,,Yes,1 - 10 times per month,To pay bills / reloads / standing orders,HNB Mobile Banking - Hatton National Bank,Satisfied,Satisfied,Very Satisfied
Female,26 - 35,Hambantota,Walasmulla,Bachelor’s Degree or equivalent,"Business, management and administration",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history,BOC Smart Pay - Bank of Ceylon;People’s Wave – People’s Bank;Frimi - Nations Trust Bank,Satisfied,Satisfied,Very Satisfied
Female,18 - 25,Matara,Kamburupitiya,Diploma  or equivalent,,No,,,,,,
Male,18 - 25,Galle,Galle,Bachelor’s Degree or equivalent,"Business, management and administration",Yes,1 - 5 times per day,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Top up mobile credits,People’s Wave – People’s Bank;Combank Digital – Commercial Bank;Flash - Commercial Bank;HNB Mobile Banking - Hatton National Bank,Very Satisfied,Very Satisfied,Very Satisfied
Female,18 - 25,Gampaha,Gampaha,Bachelor’s Degree or equivalent,,Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history,BOC Smart Pay - Bank of Ceylon;Sampath Bank Mobile App - Sampath Bank,Neutral,Neutral,Neutral
Female,18 - 25,Colombo,Piliyandala ,Diploma  or equivalent,Architecture and engineering,Yes,1 - 10 times per month,For online money transfer to family and friends;To check balance and transaction history,Frimi - Nations Trust Bank,Satisfied,Satisfied,Very Satisfied
Female,26 - 35,Matara,Matara,Bachelor’s Degree or equivalent,"Business, management and administration",Yes,Less than 5 times per week,For online money transfer to family and friends;To check balance and transaction history,BApp – Bank of Ceylon,Unsatisfied,Satisfied,Satisfied
Male,26 - 35,Matara,Matara,Bachelor’s Degree or equivalent,"Business, management and administration",Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history;To submit online requests to banks;Manage savings accounts;Top up mobile credits,BApp – Bank of Ceylon;Nations Mobile Banking – Nations Trust Bank;NDB Neos,Satisfied,Satisfied,Very Satisfied
Male,26 - 35,Colombo,Nugegoda,MBA,Science and technology,Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage fixed deposits,Sampath Bank Mobile App - Sampath Bank;Flash - Commercial Bank;Nations Mobile Banking – Nations Trust Bank,Satisfied,Satisfied,Very Satisfied
Male,36 - 55,Gampaha,RADDOLUGAMA,MSc in IT,Finance and Insurance MIS,Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history;Manage savings accounts;Manage fixed deposits;Top up mobile credits;Communicate with bank,Sampath Bank Mobile App - Sampath Bank,Satisfied,Satisfied,Satisfied
Male,26 - 35,Monaragala,Badalkumbura,Bachelor’s Degree or equivalent,Science and technology,Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;To submit online requests to banks;Manage savings accounts,BApp – Bank of Ceylon;People’s Wave – People’s Bank;Sampath Bank Mobile App - Sampath Bank,Satisfied,Satisfied,Satisfied
Male,26 - 35,Colombo,Kesbewa,Bachelor’s Degree or equivalent,Science and technology,Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;To submit online requests to banks;Manage savings accounts;Communicate with bank,Combank Digital – Commercial Bank;HNB Digital Banking - Hatton National Bank,Neutral,Very Satisfied,Very Satisfied
Male,Above 55,Colombo,Kottawa,Advanced Level  or equivalent,Administration ,No,,,,,,
Male,36 - 55,Badulla,haldumulla,Ordinary Level  or equivalent,"Installation, repair, and maintenance",Yes,Less than once a month,To pay bills / reloads / standing orders,BOC Smart Pay - Bank of Ceylon,Unsatisfied,Unsatisfied,Unsatisfied
Female,26 - 35,Colombo,Kirulapone ,Master degree,Science and technology,Yes,Less than once a month,To pay bills / reloads / standing orders;To check balance and transaction history,Sampath Bank Mobile App - Sampath Bank;Combank Digital – Commercial Bank,Neutral,Satisfied,Neutral
Female,26 - 35,Gampaha,Veyangoda ,Bachelor’s Degree or equivalent,Science and technology,Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts;Mange current accounts;Manage fixed deposits;Top up mobile credits,Frimi - Nations Trust Bank,Satisfied,Neutral,Satisfied
Female,18 - 25,Kandy,Gelioya,Bachelor’s Degree or equivalent,,No,,,,,,
